Country,Region,Population (millions),HDI,GDP per Capita,Cropland Footprint,Grazing Footprint,Forest Footprint,Carbon Footprint,Fish Footprint,Total Ecological Footprint,Cropland,Grazing Land,Forest Land,Fishing Water,Urban Land,Total Biocapacity,Biocapacity Deficit or Reserve,Earths Required,Countries Required,Data Quality
-1.7228621442976706,1.11314082122139,29.82,0.46,1.1236738122393968,0.3,0.2,0.08,0.18,0.0,0.79,0.24,0.2,0.02,0.0,0.04,0.5,-0.3,0.46,1.6,0.9244372992776739
-1.704435811203578,2.241283540302907,3.16,0.73,0.18511562536803275,0.78,0.22,0.25,0.87,0.02,2.21,0.55,0.21,0.29,0.07,0.06,1.18,-1.03,1.27,1.87,0.9244372992776739
-1.6860094781094852,-1.1431446169416433,38.48,0.73,0.6919370462785693,0.6,0.16,0.17,1.14,0.01,2.12,0.24,0.27,0.03,0.01,0.03,0.59,-1.53,1.22,3.61,0.41922156595150323
-1.6675831450153924,-1.1431446169416433,20.82,0.52,0.2414291165803146,0.33,0.15,0.12,0.2,0.09,0.93,0.2,1.42,0.64,0.26,0.04,2.55,1.61,0.54,0.37,0.9244372992776739
-1.6491568119212998,0.5490694616806318,0.09,0.78,-0.8660695439278949,0.5782080924855492,0.2631791907514451,0.373815028901734,1.8049132947976878,0.12248554913294796,5.38,0.5318497109826589,0.4565895953757226,2.4591907514450866,0.5951445086705203,0.06710982658959537,0.94,-4.44,3.11,5.7,-2.1068571006793504
-1.630730478827207,0.5490694616806318,41.09,0.83,-0.8097560527156131,0.78,0.79,0.29,1.08,0.1,3.14,2.64,1.86,0.66,1.67,0.1,6.92,3.78,1.82,0.45,0.9244372992776739
-1.6123041457331142,1.11314082122139,2.97,0.73,-0.19030764938051284,0.74,0.18,0.34,0.89,0.01,2.23,0.44,0.26,0.1,0.02,0.07,0.89,-1.35,1.29,2.52,-1.6016413673531795
-1.5938778126390216,0.5490694616806318,0.1,0.6863595697674418,-1.4855179472629951,0.5782080924855492,0.2631791907514451,0.373815028901734,1.8049132947976878,0.12248554913294796,11.88,0.5318497109826589,0.4565895953757226,2.4591907514450866,0.5951445086705203,0.06710982658959537,0.57,-11.31,6.86,20.69,-2.1068571006793504
-1.5754514795449288,-0.5790732574008849,23.05,0.93,1.1612161397142513,2.68,0.63,0.89,4.85,0.11,9.31,5.42,5.81,2.01,3.19,0.14,16.57,7.26,5.37,0.56,0.41922156595150323
-1.557025146450836,-0.01500189786012659,8.46,0.88,0.8608775199154148,0.82,0.27,0.63,4.14,0.06,6.06,0.71,0.16,2.04,0.0,0.15,3.07,-3.0,3.5,1.98,0.41922156595150323
-1.5385988133567434,1.11314082122139,9.31,0.75,1.2363007946639604,0.66,0.22,0.11,1.25,0.01,2.31,0.46,0.2,0.11,0.02,0.06,0.85,-1.46,1.33,2.72,0.9244372992776739
-1.5201724802626506,0.5490694616806318,0.37,0.78,-0.4155616142296402,0.97,1.05,0.19,4.46,0.14,6.84,0.05,0.0,1.18,8.27,0.04,9.55,2.71,3.95,0.72,-1.0964256340270089
-1.5017461471685578,1.11314082122139,1.32,0.82,-0.3217057955425038,0.52,0.45,0.16,6.19,0.07,7.49,0.01,0.0,0.0,0.46,0.1,0.58,-6.91,4.33,12.96,-1.0964256340270089
-1.4833198140744652,-0.5790732574008849,154.7,0.56,1.6117240694125061,0.29,0.0,0.08,0.26,0.02,0.72,0.25,0.0,0.0,0.05,0.07,0.38,-0.35,0.42,1.92,0.9244372992776739
-1.4648934809803724,0.5490694616806318,0.28,0.79,-0.6595867428161949,0.56,0.24,0.14,3.28,0.22,4.48,0.08,0.0,0.02,0.04,0.04,0.19,-4.29,2.58,23.79,0.41922156595150323
-1.4464671478862796,2.241283540302907,9.4,0.8,1.0485891572896877,1.32,0.12,0.91,2.57,0.08,5.09,1.52,0.3,1.71,0.02,0.09,3.64,-1.45,2.94,1.4,0.9244372992776739
-1.428040814792187,-0.01500189786012659,11.06,0.89,0.48545424516686925,1.15,0.48,0.99,4.43,0.12,7.44,0.56,0.03,0.28,0.04,0.27,1.19,-6.25,4.3,6.27,0.9244372992776739
-1.4096144816980942,-1.1431446169416433,10.05,0.48,1.4427835957756605,0.49,0.04,0.26,0.51,0.08,1.41,0.44,0.04,0.34,0.02,0.04,0.88,-0.53,0.81,1.61,0.9244372992776739
-1.3911881486040014,1.6772121807621485,0.06,0.6863595697674418,1.3864701045633787,0.5782080924855492,0.2631791907514451,0.373815028901734,1.8049132947976878,0.12248554913294796,5.77,0.5318497109826589,0.4565895953757226,2.4591907514450866,0.5951445086705203,0.06710982658959537,0.13,-5.64,3.33,44.05,-0.5912099007008381
-1.3727618155099088,-0.5790732574008849,0.74,0.59,-0.5281885966542039,0.5,0.42,3.03,0.63,0.02,4.84,0.28,0.34,4.38,0.01,0.25,5.27,0.43,2.8,0.92,-1.6016413673531795
-1.354335482415816,0.5490694616806318,10.5,0.65,-0.5845020878664857,0.37,1.69,0.17,0.67,0.01,2.96,0.59,2.18,13.86,0.05,0.06,16.73,13.77,1.71,0.18,0.41922156595150323
-1.3359091493217232,2.241283540302907,3.83,0.73,0.2602002803177419,0.63,0.27,0.44,1.74,0.02,3.12,0.3,0.19,1.13,0.0,0.02,1.63,-1.49,1.8,1.91,0.41922156595150323
-1.3174828162276306,-1.1431446169416433,2.0,0.69,1.3676989408259514,0.3,0.89,0.24,2.36,0.01,3.83,0.06,2.49,0.63,0.27,0.02,3.47,-0.35,2.21,1.1,-1.6016413673531795
